=== cf top-up Wed Jun 10 16:52:10 EDT 2026 ===
Streaming OwensLab/CommunityForensics-Small (split=train)...
Resuming — 8624 images from 227 generators already on disk.

CommunityForensics: 0img [00:00, ?img/s]
CommunityForensics: 1img [00:36, 36.66s/img]
CommunityForensics: 2img [00:37, 15.42s/img]
CommunityForensics: 4img [00:37,  5.80s/img]
CommunityForensics: 5img [00:37,  4.04s/img]
CommunityForensics: 12img [00:37,  1.00img/s]
CommunityForensics: 25img [00:37,  2.96img/s]
CommunityForensics: 42img [00:37,  6.51img/s]
CommunityForensics: 62img [00:37, 12.19img/s]
CommunityForensics: 84img [00:37, 20.48img/s]
CommunityForensics: 100img [00:38, 27.99img/s]
CommunityForensics: 121img [00:38, 40.80img/s]
CommunityForensics: 141img [00:38, 55.04img/s]
CommunityForensics: 165img [00:38, 76.43img/s]
CommunityForensics: 185img [00:38, 91.23img/s]
CommunityForensics: 209img [00:38, 114.48img/s]
CommunityForensics: 229img [00:39, 88.58img/s] 
CommunityForensics: 245img [00:39, 76.10img/s]
CommunityForensics: 258img [00:39, 76.17img/s]
CommunityForensics: 293img [00:39, 118.60img/s]
CommunityForensics: 315img [00:39, 134.22img/s]
CommunityForensics: 343img [00:39, 163.49img/s]
CommunityForensics: 365img [00:39, 173.55img/s]
CommunityForensics: 399img [00:39, 213.28img/s]
CommunityForensics: 430img [00:40, 233.38img/s]
CommunityForensics: 465img [00:40, 262.52img/s]
CommunityForensics: 510img [00:40, 311.87img/s]
CommunityForensics: 544img [00:40, 295.91img/s]
CommunityForensics: 576img [00:40, 228.81img/s]
CommunityForensics: 603img [00:40, 229.96img/s]
CommunityForensics: 629img [00:40, 231.18img/s]
CommunityForensics: 655img [00:40, 231.43img/s]
CommunityForensics: 683img [00:41, 238.76img/s]
CommunityForensics: 711img [00:41, 248.70img/s]
CommunityForensics: 737img [00:41, 228.38img/s]
CommunityForensics: 761img [00:41, 219.06img/s]
CommunityForensics: 798img [00:41, 253.64img/s]
CommunityForensics: 825img [00:41, 243.94img/s]
CommunityForensics: 861img [00:41, 272.90img/s]
CommunityForensics: 889img [00:41, 265.79img/s]
CommunityForensics: 940img [00:42, 329.07img/s]
CommunityForensics: 975img [00:42, 331.08img/s]
CommunityForensics: 1009img [00:42, 266.01img/s]
CommunityForensics: 1038img [00:42, 254.84img/s]
CommunityForensics: 1066img [00:42, 260.87img/s]
CommunityForensics: 1094img [00:42, 251.48img/s]
CommunityForensics: 1123img [00:42, 261.09img/s]
CommunityForensics: 1161img [00:42, 291.78img/s]
CommunityForensics: 1192img [00:42, 296.66img/s]
CommunityForensics: 1223img [00:43, 296.18img/s]
CommunityForensics: 1254img [00:43, 298.91img/s]
CommunityForensics: 1285img [00:43, 259.07img/s]
CommunityForensics: 1320img [00:43, 281.01img/s]
CommunityForensics: 1350img [00:43, 268.62img/s]
CommunityForensics: 1383img [00:43, 283.10img/s]
CommunityForensics: 1413img [00:43, 268.57img/s]
CommunityForensics: 1446img [00:43, 284.61img/s]
CommunityForensics: 1476img [00:44, 256.62img/s]
CommunityForensics: 1511img [00:44, 279.84img/s]
CommunityForensics: 1552img [00:44, 313.01img/s]
CommunityForensics: 1585img [00:44, 298.52img/s]
CommunityForensics: 1630img [00:44, 339.27img/s]
CommunityForensics: 1677img [00:44, 374.06img/s]
CommunityForensics: 1716img [00:44, 331.39img/s]
CommunityForensics: 1751img [00:44, 312.80img/s]
CommunityForensics: 1784img [00:45, 254.29img/s]
CommunityForensics: 1812img [00:45, 181.87img/s]
CommunityForensics: 1835img [00:45, 174.45img/s]
CommunityForensics: 1860img [00:45, 188.91img/s]
CommunityForensics: 1895img [00:45, 223.99img/s]
CommunityForensics: 1921img [00:45, 223.45img/s]
CommunityForensics: 1951img [00:45, 241.91img/s]
CommunityForensics: 1978img [00:45, 242.45img/s]
CommunityForensics: 2006img [00:46, 247.80img/s]
CommunityForensics: 2035img [00:46, 254.88img/s]
CommunityForensics: 2062img [00:46, 254.83img/s]
CommunityForensics: 2102img [00:46, 295.09img/s]
CommunityForensics: 2148img [00:46, 340.99img/s]
CommunityForensics: 2218img [00:46, 442.81img/s]
CommunityForensics: 2264img [00:46, 407.95img/s]
CommunityForensics: 2306img [00:46, 386.20img/s]
CommunityForensics: 2391img [00:46, 508.67img/s]
CommunityForensics: 2460img [00:47, 557.30img/s]
CommunityForensics: 2518img [00:47, 548.86img/s]
CommunityForensics: 2575img [00:47, 535.17img/s]
CommunityForensics: 2630img [00:47, 485.83img/s]
CommunityForensics: 2683img [00:47, 494.15img/s]
CommunityForensics: 2734img [00:47, 408.75img/s]
CommunityForensics: 2778img [00:47, 404.40img/s]
CommunityForensics: 2821img [00:47, 374.98img/s]
CommunityForensics: 2953img [00:48, 608.04img/s]
CommunityForensics: 2993img [01:00, 608.04img/s]
CommunityForensics: 2994img [01:33,  4.63img/s] 
CommunityForensics: 3007img [01:33,  5.02img/s]
CommunityForensics: 3058img [01:35,  6.93img/s]
CommunityForensics: 3095img [01:35,  8.73img/s]
CommunityForensics: 3123img [01:36, 10.47img/s]
CommunityForensics: 3144img [01:36, 12.22img/s]
CommunityForensics: 3160img [01:37, 13.65img/s]
CommunityForensics: 3172img [01:37, 15.35img/s]
CommunityForensics: 3182img [01:37, 17.13img/s]
CommunityForensics: 3191img [01:38, 19.56img/s]
CommunityForensics: 3200img [01:38, 21.16img/s]
CommunityForensics: 3207img [01:38, 22.81img/s]
CommunityForensics: 3213img [01:38, 24.35img/s]
CommunityForensics: 3219img [01:38, 25.81img/s]
CommunityForensics: 3224img [01:38, 27.44img/s]
CommunityForensics: 3229img [01:39, 28.53img/s]
CommunityForensics: 3234img [01:39, 31.08img/s]
CommunityForensics: 3239img [01:39, 27.52img/s]
CommunityForensics: 3246img [01:39, 31.68img/s]
CommunityForensics: 3251img [01:39, 34.68img/s]
CommunityForensics: 3276img [01:39, 77.70img/s]
CommunityForensics: 3294img [01:39, 99.43img/s]
CommunityForensics: 3316img [01:40, 127.86img/s]
CommunityForensics: 3343img [01:40, 155.90img/s]
CommunityForensics: 3368img [01:40, 179.98img/s]
CommunityForensics: 3401img [01:40, 218.10img/s]
CommunityForensics: 3426img [01:40, 223.88img/s]
CommunityForensics: 3450img [01:40, 223.79img/s]
CommunityForensics: 3474img [01:40, 221.34img/s]
CommunityForensics: 3504img [01:40, 242.10img/s]
CommunityForensics: 3542img [01:40, 281.00img/s]
CommunityForensics: 3571img [01:41, 230.63img/s]
CommunityForensics: 3596img [01:41, 216.29img/s]
CommunityForensics: 3619img [01:41, 198.11img/s]
CommunityForensics: 3649img [01:41, 222.22img/s]
CommunityForensics: 3673img [01:41, 200.75img/s]
CommunityForensics: 3695img [01:41, 204.98img/s]
CommunityForensics: 3724img [01:41, 223.31img/s]
CommunityForensics: 3748img [01:41, 209.65img/s]
CommunityForensics: 3772img [01:42, 214.14img/s]
CommunityForensics: 3794img [01:42, 210.92img/s]
CommunityForensics: 3816img [01:42, 186.71img/s]
CommunityForensics: 3853img [01:42, 232.99img/s]
CommunityForensics: 3888img [01:42, 263.78img/s]
CommunityForensics: 3920img [01:42, 276.03img/s]
CommunityForensics: 3949img [01:42, 261.88img/s]
CommunityForensics: 3983img [01:42, 282.83img/s]
CommunityForensics: 4013img [01:42, 286.47img/s]
CommunityForensics: 4043img [01:43, 266.48img/s]
CommunityForensics: 4071img [01:43, 255.02img/s]
CommunityForensics: 4097img [01:43, 242.30img/s]
CommunityForensics: 4133img [01:43, 258.40img/s]
CommunityForensics: 4164img [01:43, 270.27img/s]
